State,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/17/2020,5/18/2020,5/19/2020,5/20/2020,5/21/2020,5/22/2020,5/23/2020,5/24/2020,5/25/2020,5/26/2020,5/27/2020,5/28/2020,5/29/2020,5/30/2020,5/31/2020,6/1/2020,6/2/2020,6/3/2020,6/4/2020,6/5/2020,6/6/2020,6/7/2020,6/8/2020,6/9/2020,6/10/2020,6/11/2020,6/12/2020,6/13/2020,6/14/2020,6/15/2020,6/16/2020,6/17/2020,6/18/2020,6/19/2020,6/20/2020,6/21/2020,6/22/2020,6/23/2020,6/24/2020,6/25/2020,6/26/2020,6/27/2020,6/28/2020,6/29/2020,6/30/2020
Georgia,3374,4017,4576,4805,4913,5122,5314,6456,7250,7758,7556,7521,7104,7484,8418,8340,8355,8372,7768,7735,7922,7722,8762,8568,7913,8235,7817,7108,7253,7474,6857,7608,7117,6782,6960,6776,7257,7316,7259,6813,7316,6513,6593,6762,6526,6774,6469,5961,6102,6267,6221,6661,6558,6815,6925,6628,6771,7059,6983,7026,6530,6400,6420,5965,5992,6459,6638,6721,6632,6616,6918,6917,7071,7576,7910,7822,7793,7719,8132,8415,8760,9829,9728,10145,11006,11700,12681,13917,14955,16298,17408,17482
Hawaii,168,171,200,229,260,276,281,261,261,267,238,241,243,185,160,153,143,131,164,138,142,121,93,92,90,81,76,66,35,33,34,33,28,24,20,20,20,22,20,18,14,15,15,18,16,13,13,11,11,10,11,13,7,5,6,5,4,4,7,8,8,5,10,10,10,12,21,29,28,27,31,33,40,53,70,73,72,63,69,86,107,104,122,110,96,107,115,130,128,137,111,128
Idaho,473,524,708,810,931,932,896,936,929,892,839,830,631,535,442,395,486,439,445,436,318,340,359,410,406,414,310,288,297,284,312,279,295,225,236,240,261,281,226,253,246,245,232,232,245,224,261,241,277,250,276,246,302,302,275,275,207,280,315,315,297,333,244,338,307,364,485,440,369,419,418,421,421,420,420,409,288,323,493,554,650,744,746,903,901,1003,1466,1403,1690,1579,1881,2113
Illinois,5241,5931,6410,7367,8492,8721,9238,10062,10482,11366,11893,12200,13157,13121,12891,13334,13472,14025,14082,13935,13626,13879,14255,14912,16410,17184,18169,18305,18942,20001,21405,22996,23398,24562,24119,24112,24329,24988,25658,25727,24823,22952,24516,23195,24160,24480,24225,23320,22725,21945,22677,23681,22423,23102,22367,21648,20738,20115,19348,19425,18499,17572,15790,15052,13526,12742,12720,12584,11924,10960,10295,9577,9369,8350,8041,7784,7101,6749,6428,6363,6258,6267,6159,6026,5954,5997,6418,6652,6892,6945,6991,7081
Indiana,2030,2360,2768,3069,3476,3766,3977,4277,4430,4565,4749,4871,4890,4922,4574,4549,4586,4644,4698,4860,4781,4662,4510,4680,5154,5439,5470,5807,5947,5971,6147,6533,6857,6894,6826,6634,6858,6542,6558,6550,6291,5997,5832,5540,5546,5623,5410,5275,5109,4973,5148,5309,5282,5428,5323,5059,4798,4659,4813,4853,4937,4638,4421,4336,4336,4381,4500,4560,4329,4065,3822,3763,3918,3909,3831,3813,3852,3789,3616,3815,3713,3724,3675,3487,3328,3231,3225,3354,3562,3492,3482,3533
Iowa,428,457,509,575,641,690,711,748,809,846,891,963,973,1011,1112,1126,1195,1286,1368,1632,1771,2131,2161,2214,2546,3097,3335,3536,3863,3941,3986,4243,4895,5251,5258,5019,4928,5191,5081,4828,4814,4489,4269,4114,3972,3938,3924,3592,3498,3625,3661,3797,3580,3609,3576,3508,3375,3718,3631,3661,3624,3382,3207,3121,3049,3249,3451,3109,3126,3050,2993,3074,3274,3331,3417,3120,2928,2701,2748,2854,3037,2870,2990,2796,2752,2675,3291,3538,3613,3659,3571,3578
Kansas,377,420,469,529,564,579,643,646,716,744,683,790,791,761,743,753,766,818,775,789,931,889,987,1331,1518,1631,1662,1743,1831,1934,2365,2470,2554,2435,2424,2513,2716,2859,3015,2990,2538,2525,2355,2362,2322,2238,1946,1621,1636,1524,1556,1466,1669,1428,1299,1239,1260,1338,1068,1309,1183,1075,1011,1019,1088,1042,1107,1070,1035,882,919,1050,903,1008,928,934,1013,1050,1238,1209,1412,1347,1313,1455,1517,1829,1788,2051,1973,2094,2188,2273
Kentucky,541,529,647,608,720,708,654,769,711,862,1065,1061,1193,1248,1131,1255,1480,1373,1558,1619,1357,1511,1415,1461,1731,1705,1650,1634,1668,1577,1658,1678,1501,1651,1466,1907,1849,1973,1913,1903,1732,1795,1974,1723,1980,1622,1754,1559,1647,1629,1727,1609,1573,1718,1346,1127,1263,1389,1250,1395,1537,1418,1620,1614,1839,2134,2026,2210,2102,2012,2003,2179,1899,1981,2035,1740,1670,1360,1708,1721,1747,1747,1805,1673,1696,1918,1970,2212,2172,2035,1893,1994
Louisiana,4474,5587,7977,8909,10701,10706,12123,12969,13490,14258,14016,13590,11446,10719,9022,8941,7665,6834,6550,5645,5270,4840,4663,4723,4622,4561,4241,3950,3706,3732,3478,3857,3882,3601,3533,3484,3626,3584,3569,3757,3599,3104,2910,3322,3816,3841,3718,3780,3854,3621,3716,4689,4875,4263,3680,3972,3937,4065,4093,3764,4261,3412,3416,3821,3964,3753,3935,3989,4014,4248,4035,4114,4131,4249,5150,5057,5183,5220,5818,5584,4903,5355,5306,5244,5312,5858,6243,7063,6135,7602,8566,8710
Maine,233,214,269,314,314,315,331,308,284,285,283,313,257,266,279,300,297,308,310,307,289,272,274,239,230,195,219,196,193,189,220,235,246,248,240,261,239,307,334,352,341,339,324,330,360,377,394,357,339,333,383,415,471,498,490,471,461,450,476,485,463,448,401,364,363,372,373,387,381,362,324,312,318,344,339,347,328,295,266,290,307,301,290,250,239,224,260,283,318,313,306,315
