date,state,hospitalized
20200608,LA,582
20200607,LA,575
20200606,LA,582
20200605,LA,604
20200604,LA,613
20200603,LA,617
20200602,LA,639
20200601,LA,661
20200531,LA,678
20200530,LA,674
20200529,LA,714
20200528,LA,761
20200527,LA,798
20200526,LA,831
20200525,LA,847
20200524,LA,813
20200523,LA,836
20200522,LA,867
20200521,LA,884
20200520,LA,931
20200519,LA,1004
20200518,LA,1031
20200517,LA,1019
20200516,LA,1028
20200515,LA,1091
20200514,LA,1193
20200513,LA,1194
20200512,LA,1320
20200511,LA,1310
20200510,LA,1324
20200509,LA,1333
20200508,LA,1359
20200507,LA,1432
20200506,LA,1465
20200505,LA,1512
20200504,LA,1502
20200503,LA,1530
20200502,LA,1545
20200501,LA,1607
20200430,LA,1601
20200429,LA,1629
20200428,LA,1666
20200427,LA,1683
20200426,LA,1701
20200425,LA,1700
20200424,LA,1697
20200423,LA,1727
20200422,LA,1747
20200421,LA,1798
20200420,LA,1794
20200419,LA,1748
20200418,LA,1761
20200417,LA,1868
20200416,LA,1914
20200415,LA,1943
20200414,LA,1977
20200413,LA,2134
20200412,LA,2084
20200411,LA,2067
20200410,LA,2054
20200409,LA,2014
20200408,LA,1983
20200407,LA,1996
20200406,LA,1981
20200405,LA,1803
20200404,LA,1726
20200403,LA,1707
20200402,LA,1639
20200401,LA,1498
20200331,LA,1355
20200330,LA,1185
20200329,LA,1127
20200328,LA,927
20200327,LA,773
20200326,LA,676
20200325,LA,491
20200324,LA,271
20200709,MA,635
20200708,MA,662
20200707,MA,621
20200706,MA,603
20200705,MA,636
20200704,MA,640
20200703,MA,656
20200702,MA,681
20200701,MA,760
20200630,MA,733
20200629,MA,762
20200628,MA,748
20200627,MA,769
20200626,MA,791
20200625,MA,822
20200624,MA,939
20200623,MA,953
20200622,MA,920
20200621,MA,927
20200620,MA,964
20200619,MA,994
20200618,MA,968
20200617,MA,998
20200616,MA,1045
20200615,MA,1026
20200614,MA,1039
